Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2020);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;16721;"Annual Review of Plant Biology";journal;"15452123, 15435008";11,695;Q1;262;29;79;4986;2059;79;25,28;171,93;United States;Northern America;"Annual Reviews Inc.";"1996-2020";"Cell Biology (Q1); Molecular Biology (Q1); Physiology (Q1); Plant Science (Q1)"
2;11300153736;"Annual Review of Pathology: Mechanisms of Disease";journal;"15534006, 15534014";9,417;Q1;122;20;56;2953;1260;56;21,69;147,65;United States;Northern America;"Annual Reviews Inc.";"2006-2020";"Medicine (miscellaneous) (Q1); Pathology and Forensic Medicine (Q1); Plant Science (Q1)"
3;18567;"Fungal Diversity";journal;"15602745, 18789129";7,743;Q1;94;24;65;6920;1153;64;18,39;288,33;Netherlands;Western Europe;"Springer Netherlands";"1998-2020";"Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Plant Science (Q1)"
4;16715;"Annual Review of Phytopathology";journal;"00664286, 15452107";6,195;Q1;160;17;76;2348;1216;76;12,73;138,12;United States;Northern America;"Annual Reviews Inc.";"1973, 1981, 1987, 1989-2020";"Medicine (miscellaneous) (Q1); Plant Science (Q1)"
5;17269;"Studies in Mycology";journal;"01660616";6,180;Q1;95;15;49;2353;774;49;16,03;156,87;Netherlands;Western Europe;"Westerdijk Fungal Biodiversity Institute";"1996, 1998-2000, 2002-2020";"Agricultural and Biological Sciences (miscellaneous) (Q1); Plant Science (Q1)"
6;21100416121;"Nature Plants";journal;"2055026X";5,380;Q1;71;235;656;8508;4789;386;7,11;36,20;United Kingdom;Western Europe;"Palgrave Macmillan Ltd.";"2010, 2015-2020";"Plant Science (Q1)"
7;16594;"Plant Cell";journal;"1532298X, 10404651";5,324;Q1;341;333;752;16240;5787;546;6,75;48,77;United States;Northern America;"American Society of Plant Biologists";"1989-2020";"Cell Biology (Q1); Plant Science (Q1)"
8;17600155011;"Molecular Plant";journal;"16742052, 17529867";4,588;Q1;115;153;474;8872;4792;380;9,60;57,99;United States;Northern America;"Cell Press";"2008-2020";"Molecular Biology (Q1); Plant Science (Q1)"
9;17809;"Trends in Plant Science";journal;"13601385, 18784372";4,587;Q1;263;162;386;9428;4844;377;11,39;58,20;United Kingdom;Western Europe;"Elsevier Ltd.";"1996-2020";"Plant Science (Q1)"
10;19988;"Persoonia: Molecular Phylogeny and Evolution of Fungi";journal;"00315850";4,508;Q1;58;21;63;1974;599;61;9,73;94,00;Netherlands;Western Europe;"National Herbarium Nederland";"1996-2000, 2002-2020";"Ecology, Evolution, Behavior and Systematics (Q1); Plant Science (Q1)"
11;17924;"Current Opinion in Plant Biology";journal;"18790356, 13695266";4,155;Q1;205;115;355;7507;3014;336;7,09;65,28;United Kingdom;Western Europe;"Elsevier Ltd.";"1998-2020";"Plant Science (Q1)"
12;13096;"BMC Biology";journal;"17417007";3,952;Q1;106;195;381;14317;2551;340;5,91;73,42;United Kingdom;Western Europe;"BioMed Central Ltd.";"2003-2020";"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Biotechnology (Q1); Cell Biology (Q1); Developmental Biology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Physiology (Q1); Plant Science (Q1); Structural Biology (Q1)"
13;19908;"New Phytologist";journal;"14698137, 0028646X";3,742;Q1;244;721;1824;48381;14900;1570;7,96;67,10;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1902-2020";"Physiology (Q1); Plant Science (Q1)"
14;16615;"Plant Physiology";journal;"00320889, 15322548";3,554;Q1;312;553;1467;31589;10821;1287;6,79;57,12;United States;Northern America;"American Society of Plant Biologists";"1965-1971, 1975, 1977-2020";"Genetics (Q1); Physiology (Q1); Plant Science (Q1)"
15;16592;"Plant Biotechnology Journal";journal;"14677644, 14677652";3,525;Q1;115;283;527;14827;4944;483;8,66;52,39;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2004-2020";"Agronomy and Crop Science (Q1); Biotechnology (Q1); Plant Science (Q1)"
16;16612;"Plant Journal";journal;"1365313X, 09607412";3,058;Q1;269;487;1050;34677;7143;1005;5,53;71,21;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1991-2020";"Cell Biology (Q1); Genetics (Q1); Plant Science (Q1)"
17;130165;"Journal of Integrative Plant Biology";journal;"16729072, 17447909";2,734;Q1;83;145;251;8477;1450;197;5,86;58,46;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2005-2020";"Biochemistry (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Plant Science (Q1)"
